"","GRUPO/O","LOCALID","HABITAT","Occurence","LAT","LONG"
"1","REGAVIVEC","Castroverde - Penalonga","rural","P","43.02324","-7.35292"
"2","REGAVIVEC","Castroverde - Gracián","rural","A","42.99415","-7.3909900000000004"
"3","REGAVIVEC","A Cañiza - Deva","rural","P","42.25341","-8.2880400000000005"
"4","REGAVIVEC","Crecente - Frieira","rural","P","42.154328","-8.2007320000000004"
"5","REGAVIVEC","Monforte de Lemos - Prodeme","rural","P","42.54202","-7.5314500000000004"
"6","REGAVIVEC","Vigo - A Madroa","rural","A","42.249183","-8.6734679999999997"
"7","REGAVIVEC","A Guarda - A Cruz","natural","A","41.897117","-8.8483149999999995"
"8","REGAVIVEC","Arbo - A Estación","urbano","P","42.107408","-8.3002260000000003"
"9","REGAVIVEC","Culleredo - Alvedro","urbano","A","43.303571","-8.3818479999999997"
"10","REGAVIVEC","Ortigueira - A Senra","rural","A","43.665638","-7.8499840000000001"
"11","REGAVIVEC","Xove - Aldea de Abaixo","rural","A","43.718254","-7.4879569999999998"
"12","REGAVIVEC","Pontevedra - Xunqueira do Alba","urbano","A","42.44397","-8.6434580000000008"
"13","REGAVIVEC","Tomiño - Goián","rural","A","41.942666","-8.7620280000000008"
"14","REGAVIVEC","Triacastela - Vilar","rural","A","42.75144","-7.2013299999999996"
"15","REGAVIVEC","Sanxenxo - Rouxique","rural","P","42.410526","-8.81724"
"16","REGAVIVEC","O Valadouro - San Xiao de Recaré","rural","A","43.533638","-7.4642309999999998"
"17","REGAVIVEC","Ribadeo","rural","A","43.530976","-7.0476559999999999"
"18","REGAVIVEC","Pontevedra - Lourizán","urbano","A","42.409068","-8.6661509999999993"
"19","REGAVIVEC","Tui - Guillarei","rural","P","42.057167","-8.6301889999999997"
"20","REGAVIVEC","Sandiás - Antela","rural","P","42.1025","-7.7204439999999996"
"21","REGAVIVEC","A Bola - Ourille","rural","P","42.142464","-7.9249872999999997"
"22","REGAVIVEC","Tui - Albelos","rural","P","42.074926","-8.6328309999999995"
"23","REGAVIVEC","Negueira de Muñiz","rural","A","43.119754","-6.9155794000000004"
"24","REGAVIVEC","Sanxenxo - Rouxique","RURAL","P","42.410526","-8.8172409999999992"
"25","REGAVIVEC","Sandiás - Antela","RURAL","P","42.10303","-7.7204199999999998"
"26","REGAVIVEC","Arbo - A Estación","RURAL","A","42.107408","-8.3002260000000003"
"27","REGAVIVEC","Pontevedra - Lourizán","RURAL","P","42.40919","-8.6662099999999995"
"28","REGAVIVEC","Seixalbo","RURAL","A","42.230055","-7.8483200000000002"
"29","REGAVIVEC","Xove - Aldea de Abaixo","RURAL","A","43.718254","-7.4879569999999998"
"30","REGAVIVEC","Ribadeo","RURAL","A","43.530976","-7.0476559999999999"
"31","REGAVIVEC","Ortigueira - A Senra","RURAL","A","43.665638","-7.8499840000000001"
"32","REGAVIVEC","Tomiño - Goián","RURAL","A","41.942666","-8.7620280000000008"
"33","REGAVIVEC","Vigo - Peinador","urbano","A","42.226044","-8.6343080000000008"
"34","REGAVIVEC","Vigo - Bouzas","urbano","A","42.230461","-8.7551649999999999"
"35","REGAVIVEC","Crecente - Frieira","rural","A","42.154328","-8.2007320000000004"
"36","REGAVIVEC","Arbo - A Estación","urbano","A","42.107408","-8.3002260000000003"
"37","REGAVIVEC","Sanxenxo - Rouxique","RURAL","A","42.410526","-8.81724"
"38","REGAVIVEC","Pontevedra - Lourizán","RURAL","P","42.409068","-8.6661509999999993"
"39","REGAVIVEC","Sandiás - Antela","RURAL","A","42.10303","-7.7204199999999998"
"40","REGAVIVEC","Santiago de Compostela - Lavacolla","URBANO","A","42.289717","-8.4233499999999992"
"41","REGAVIVEC","Xove - Aldea de Abaixo","RURAL","A","43.718254","-7.4879569999999998"
"42","REGAVIVEC","O Valadouro - San Xiao de Recaré","RURAL","A","43.533638","-7.4642309999999998"
"43","REGAVIVEC","Ames - Ortoño","RURAL","A","42.84584","-7.4642309999999998"
"44","REGAVIVEC","Ribadeo","RURAL","A","43.530976","-7.0476559999999999"
"45","REGAVIVEC","Ortigueira - A Senra","RURAL","A","43.665638","-7.8499840000000001"
"46","REGAVIVEC","Santiago de Compostela","URBANO","A","42.873878","-8.5581379999999996"
"47","REGAVIVEC","Tomiño - Goián","RURAL","A","41.942666","-8.7620280000000008"
"48","REGAVIVEC","Tui - Guillarei","NATURAL","A","42.057167","-8.6301889999999997"
"49","REGAVIVEC","Coles - Fontefiz","RURAL","P","42.429905","-7.8345330000000004"
"50","REGAVIVEC","Sandiás - Antela","RURAL","A","42.103022","-7.7204259999999998"
"51","REGAVIVEC","Culleredo - Alvedro","urbano","A","43.303571","-8.3818479999999997"
"52","REGAVIVEC","A Guarda - A Cruz","natural","A","41.897117","-8.8483140000000002"
"53","UVIGO/Biología Ambiental","Vigo","NATURAL","A","42.252136","-8.6531190000000002"
"54","UVIGO/Biología Ambiental","Mos","URBANO","A","42.20426","-8.6039860000000008"
"55","UVIGO/Biología Ambiental","Tui","RURAL","A","42.074926","-8.6328309999999995"
"56","UVIGO/Biología Ambiental","Mondariz-Balneario","URBANO","A","42.228056","-8.4708889999999997"
"57","UVIGO/Biología Ambiental","Mondariz-Balneario","URBANO","P","42.228117","-8.4703300000000006"
"58","UVIGO/Biología Ambiental","Covelo","URBANO","A","42.231216","-8.3602319999999999"
"59","UVIGO/Biología Ambiental","Covelo","RURAL","A","42.319807","-8.317672"
"60","UVIGO/Biología Ambiental","Fornelos de Montes","NATURAL","A","42.351402","-8.4009330000000002"
"61","UVIGO/Biología Ambiental","Fornelos de Montes","RURAL","A","42.350707","-8.4492229999999999"
"62","UVIGO/Biología Ambiental","Fornelos de Montes","RURAL","A","42.350743","-8.4490940000000005"
"63","UVIGO/Biología Ambiental","Mondariz","URBANO","A","42.283403","-8.4865870000000001"
"64","UVIGO/Biología Ambiental","Tomiño","URBANO","A","42.027315","-8.7448920000000001"
"65","UVIGO/Biología Ambiental","O Rosal","URBANO","A","41.957286","-8.8403659999999995"
"66","UVIGO/Biología Ambiental","Oia","NATURAL","A","42.049929","-8.8430169999999997"
"67","UVIGO/Biología Ambiental","Redondela","URBANO","A","42.233564","-8.6130659999999999"
"68","UVIGO/Biología Ambiental","Vilaboa","URBANO","A","42.352341","-8.6350449999999999"
"69","UVIGO/Biología Ambiental","Vigo","URBANO","P","42.167447","-8.6844680000000007"
"70","UVIGO/Biología Ambiental","Vigo","URBANO","P","42.165878","-8.6849749999999997"
"71","UVIGO/Biología Ambiental","O Porriño","URBANO","A","42.111911","-8.6299989999999998"
"72","UVIGO/Biología Ambiental","Salvaterra de Miño","URBANO","P","42.09098","-8.4997810000000005"
"73","UVIGO/Biología Ambiental","Salvaterra de Miño","URBANO","A","42.090896","-8.4997419999999995"
"74","UVIGO/Biología Ambiental","A Cañiza","URBANO","A","42.210131","-8.2853349999999999"
"75","UVIGO/Biología Ambiental","Moaña","NATURAL","A","42.330567","-8.7132129999999997"
"76","UVIGO/Biología Ambiental","Bueu","NATURAL","A","42.329091","-8.8250899999999994"
"77","UVIGO/Biología Ambiental","Pontevedra","URBANO","A","42.415918","-8.6171810000000004"
"78","UVIGO/Biología Ambiental","Meis","URBANO","A","42.491572","-8.7547219999999992"
"79","UVIGO/Biología Ambiental","Sanxenxo","URBANO","A","42.417892","-8.8663360000000004"
"80","UVIGO/Biología Ambiental","Sanxenxo","URBANO","P","42.453096","-8.8492770000000007"
"81","UVIGO/Biología Ambiental","Portas","URBANO","A","42.584142","-8.6922219999999992"
"82","UVIGO/Biología Ambiental","Arbo","URBANO","P","42.106171","-8.3327770000000001"
"83","UVIGO/Biología Ambiental","Ramiras","URBANO","A","42.194675","-8.0458200000000009"
"84","UVIGO/Biología Ambiental","Ramiras","URBANO","A","42.185158","-8.0193739999999991"
"85","UVIGO/Biología Ambiental","A Bola","URBANO","A","42.142464","-7.9249872999999997"
"86","UVIGO/Biología Ambiental","Rairiz de Veiga","NATURAL","P","42.110654","-7.8759199999999998"
"87","UVIGO/Biología Ambiental","Sandias","RURAL","A","42.076603","-7.7610200000000003"
"88","UVIGO/Biología Ambiental","Sandias","URBANO","A","42.126887","-7.753908"
"89","UVIGO/Biología Ambiental","Allariz","URBANO","A","42.191756","-7.7951810000000004"
"90","UVIGO/Biología Ambiental","Arbo","URBANO","A","42.107397","-8.3005499999999994"
"91","UVIGO/Biología Ambiental","Crecente","URBANO","A","42.154521","-8.2007689999999993"
"92","UVIGO/Biología Ambiental","Salvaterra de Miño","RURAL","A","42.161137","-8.4686229999999991"
"93","UVIGO/Biología Ambiental","Soutomaior","RURAL","A","42.342883","-8.5993340000000007"
"94","UVIGO/Biología Ambiental","Ponte Caldelas","URBANO","A","42.391291","-8.4893649999999994"
"95","UVIGO/Biología Ambiental","A Lama","URBANO","A","42.444916","-8.3742470000000004"
"96","UVIGO/Biología Ambiental","A Lama","RURAL","A","42.469041","-8.3590219999999995"
"97","UVIGO/Biología Ambiental","A Lama","URBANO","A","42.447499","-8.3740260000000006"
"98","UVIGO/Biología Ambiental","Cerdedo-Cotobade","URBANO","A","42.47158","-8.4800319999999996"
"99","UVIGO/Biología Ambiental","Campo Lameiro","NATURAL","A","42.523153","-8.5392139999999994"
"100","UVIGO/Biología Ambiental","Ribadavia","URBANO","A","42.294577","-8.1395669999999996"
"101","UVIGO/Biología Ambiental","Maside","URBANO","P","42.396685","-8.0056039999999999"
"102","UVIGO/Biología Ambiental","Maside","URBANO","P","42.404301","-8.0415469999999996"
"103","UVIGO/Biología Ambiental","Beariz","URBANO","A","42.459341","-8.250121"
"104","UVIGO/Biología Ambiental","Avion","NATURAL","A","42.370487","-8.2354629999999993"
"105","UVIGO/Biología Ambiental","Ribadavia","RURAL","A","42.301842","-8.1536989999999996"
"106","UVIGO/Biología Ambiental","Melon","URBANO","A","42.26722","-8.2119250000000008"
"107","UVIGO/Biología Ambiental","Chantada","URBANO","A","42.606348","-7.7685849999999999"
"108","UVIGO/Biología Ambiental","Chantada","URBANO","A","42.61373","-7.7916189999999999"
"109","UVIGO/Biología Ambiental","Chantada","RURAL","A","42.634853","-7.8427740000000004"
"110","UVIGO/Biología Ambiental","Taboada","URBANO","A","42.710002","-7.7701060000000002"
"111","UVIGO/Biología Ambiental","Taboada","RURAL","A","42.769717","-7.7458470000000004"
"112","UVIGO/Biología Ambiental","Guntin","RURAL","A","42.879256","-7.6910429999999996"
"113","UVIGO/Biología Ambiental","Guntin","RURAL","A","42.956666","-7.7366710000000003"
"114","UVIGO/Biología Ambiental","Friol","URBANO","A","43.027957","-7.7876250000000002"
"115","UVIGO/Biología Ambiental","Friol","RURAL","A","43.035035","-7.7500559999999998"
"116","UVIGO/Biología Ambiental","Begonte","NATURAL","A","43.168417","-7.7144139999999997"
"117","UVIGO/Biología Ambiental","Begonte","NATURAL","P","43.167759","-7.714626"
"118","UVIGO/Biología Ambiental","Vilalba","URBANO","A","43.296302","-7.6894679999999997"
"119","UVIGO/Biología Ambiental","Vilalba","RURAL","A","43.338027","-7.5943110000000003"
"120","UVIGO/Biología Ambiental","Abadin","URBANO","P","43.370209","-7.4685309999999996"
"121","UVIGO/Biología Ambiental","Mondoñedo","URBANO","A","43.428418","-7.3567590000000003"
"122","UVIGO/Biología Ambiental","Lourenza","URBANO","A","43.471968","-7.2956810000000001"
"123","UVIGO/Biología Ambiental","Barreiros","URBANO","A","43.500038","-7.2583799999999998"
"124","UVIGO/Biología Ambiental","Foz","URBANO","A","43.610223","-7.3553839999999999"
"125","UVIGO/Biología Ambiental","O Valadouro","RURAL","A","43.58279","-7.3904589999999999"
"126","UVIGO/Biología Ambiental","Barreiros","NATURAL","A","43.546039","-7.2533690000000002"
"127","UVIGO/Biología Ambiental","Ribadeo","RURAL","A","43.553464","-7.0886670000000001"
"128","UVIGO/Biología Ambiental","Trabada","URBANO","A","43.446314","-7.0915470000000003"
"129","UVIGO/Biología Ambiental","A Pontenova","NATURAL","A","43.36212","-7.2039799999999996"
"130","UVIGO/Biología Ambiental","A Pontenova","URBANO","A","43.305922","-7.1786979999999998"
"131","UVIGO/Biología Ambiental","A Fonsagrada","NATURAL","A","43.24069","-7.151891"
"132","UVIGO/Biología Ambiental","Ribeira de Piquin","URBANO","A","43.201754","-7.2015370000000001"
"133","UVIGO/Biología Ambiental","Baleira","RURAL","A","43.129076","-7.2411630000000002"
"134","UVIGO/Biología Ambiental","Pol","URBANO","A","43.128459","-7.3454170000000003"
"135","UVIGO/Biología Ambiental","Castroverde","NATURAL","A","42.981102","-7.361294"
"136","UVIGO/Biología Ambiental","O Corgo","RURAL","A","42.962987","-7.3662520000000002"
"137","UVIGO/Biología Ambiental","O Corgo","RURAL","A","42.938112","-7.4239129999999998"
"138","UVIGO/Biología Ambiental","Sarria","NATURAL","A","42.807832","-7.4253819999999999"
"139","UVIGO/Biología Ambiental","Sarria","RURAL","A","42.777867","-7.4246869999999996"
"140","UVIGO/Biología Ambiental","Sarria","URBANO","A","42.778098","-7.4104869999999998"
"141","UVIGO/Biología Ambiental","Sarria","URBANO","A","42.807371","-7.3826689999999999"
"142","UVIGO/Biología Ambiental","Boveda","URBANO","A","42.646889","-7.4819750000000003"
"143","UVIGO/Biología Ambiental","A Pobra do Brollon","NATURAL","A","42.565095","-7.4287349999999996"
"144","UVIGO/Biología Ambiental","A Pobra do Brollon","URBANO","A","42.556301","-7.3926160000000003"
"145","UVIGO/Biología Ambiental","Monforte de Lemos","URBANO","A","42.526221","-7.4994690000000004"
"146","UVIGO/Biología Ambiental","Monforte de Lemos","RURAL","A","42.534337","-7.5743260000000001"
"147","UVIGO/Biología Ambiental","Panton","URBANO","A","42.525489","-7.5961129999999999"
"148","UVIGO/Biología Ambiental","A Peroxa","URBANO","A","42.455127","-7.7352489999999996"
"149","UVIGO/Biología Ambiental","Coles","URBANO","A","42.382706","-7.8349690000000001"
"150","UVIGO/Biología Ambiental","Ourense","URBANO","A","42.347503","-7.8490840000000004"
"151","UVIGO/Biología Ambiental","Barro","URBANO","A","42.55554","-8.6313189999999995"
"152","UVIGO/Biología Ambiental","Valga","URBANO","A","42.704322","-8.6682780000000008"
"153","UVIGO/Biología Ambiental","Padron","URBANO","A","42.738545","-8.6580080000000006"
"154","UVIGO/Biología Ambiental","Santiago de Compostela","URBANO","A","42.894565","-8.5611820000000005"
"155","UVIGO/Biología Ambiental","Ames","RURAL","A","42.931629","-8.6086650000000002"
"156","UVIGO/Biología Ambiental","A Estrada","URBANO","A","42.760717","-8.5491820000000001"
"157","UVIGO/Biología Ambiental","Cuntis","URBANO","A","42.632123","-8.5584059999999997"
"158","UVIGO/Biología Ambiental","Quintela de Leirado","NATURAL","P","42.114815","-8.0876859999999997"
"159","UVIGO/Biología Ambiental","Bande","NATURAL","A","42.064218","-7.9664770000000003"
"160","UVIGO/Biología Ambiental","Bande","NATURAL","A","41.9792","-7.9817999999999998"
"161","UVIGO/Biología Ambiental","Lobios","RURAL","A","41.909544","-8.0739590000000003"
"162","UVIGO/Biología Ambiental","Lobios","URBANO","A","41.904378","-8.0766410000000004"
"163","UVIGO/Biología Ambiental","Lobios","NATURAL","A","41.897153","-8.0237350000000003"
"164","UVIGO/Biología Ambiental","Porqueira","RURAL","A","42.021259","-7.8832269999999998"
"165","UVIGO/Biología Ambiental","Forcarei","RURAL","A","42.585809","-8.3449960000000001"
"166","UVIGO/Biología Ambiental","A Estrada","NATURAL","A","42.602778","-8.4011169999999993"
"167","UVIGO/Biología Ambiental","A Estrada","URBANO","A","42.700131","-8.4662559999999996"
"168","UVIGO/Biología Ambiental","Vedra","NATURAL","A","42.754604","-8.4083400000000008"
"169","UVIGO/Biología Ambiental","A Estrada","URBANO","A","42.747371","-8.3683239999999994"
"170","UVIGO/Biología Ambiental","Silleda","RURAL","A","42.672612","-8.3400309999999998"
"171","UVIGO/Biología Ambiental","Silleda","URBANO","A","42.640132","-8.2211499999999997"
"172","UVIGO/Biología Ambiental","Silleda","URBANO","A","42.622608","-8.225479"
"173","UVIGO/Biología Ambiental","O Irixo","URBANO","A","42.512368","-8.1191420000000001"
"174","UVIGO/Biología Ambiental","Toen","URBANO","A","42.33668","-7.9697399999999998"
"175","UVIGO/Biología Ambiental","Esgos","URBANO","A","42.318451","-7.6921860000000004"
"176","UVIGO/Biología Ambiental","Xunqueira de Espadanedo","URBANO","A","42.300657","-7.647329"
"177","UVIGO/Biología Ambiental","Maceda","RURAL","A","42.255817","-7.6467530000000004"
"178","UVIGO/Biología Ambiental","Vilar de Barrio","URBANO","A","42.161003","-7.6154320000000002"
"179","UVIGO/Biología Ambiental","Xunqueira de Ambia","RURAL","A","42.184152","-7.7178500000000003"
"180","UVIGO/Biología Ambiental","Piñor","RURAL","A","42.51735","-8.0086670000000009"
"181","UVIGO/Biología Ambiental","Dozon","RURAL","A","42.548943","-8.0134539999999994"
"182","UVIGO/Biología Ambiental","Dozon","URBANO","A","42.56858","-8.0475309999999993"
"183","UVIGO/Biología Ambiental","Lalin","URBANO","A","42.660538","-8.1242180000000008"
"184","UVIGO/Biología Ambiental","Agolada","RURAL","A","42.772269","-8.1042240000000003"
"185","UVIGO/Biología Ambiental","Agolada","URBANO","A","42.786829","-8.0818910000000006"
"186","UVIGO/Biología Ambiental","Santiso","RURAL","A","42.840203","-8.0325199999999999"
"187","UVIGO/Biología Ambiental","Arzua","URBANO","A","42.933346","-8.1076739999999994"
"188","UVIGO/Biología Ambiental","Boimorto","URBANO","A","43.012004","-8.1262050000000006"
"189","UVIGO/Biología Ambiental","Boimorto","RURAL","A","43.031407","-8.1493369999999992"
"190","UVIGO/Biología Ambiental","Curtis","RURAL","A","43.132855","-8.1391019999999994"
"191","UVIGO/Biología Ambiental","Oza-Cesuras","RURAL","A","43.205623","-8.1649259999999995"
"192","UVIGO/Biología Ambiental","Paderne","RURAL","A","43.269617","-8.12697"
"193","UVIGO/Biología Ambiental","Pontedeume","URBANO","A","43.408953","-8.1937460000000009"
"194","UVIGO/Biología Ambiental","Pontedeume","URBANO","A","43.390748","-8.1681299999999997"
"195","UVIGO/Biología Ambiental","Neda","URBANO","A","43.505129","-8.1439559999999993"
"196","UVIGO/Biología Ambiental","Valdoviño","URBANO","A","43.606275","-8.1550290000000007"
"197","UVIGO/Biología Ambiental","San Sadurniño","RURAL","A","43.564044","-8.0742060000000002"
"198","UVIGO/Biología Ambiental","Cerdido","RURAL","A","43.592797","-7.962294"
"199","UVIGO/Biología Ambiental","Ortigueira","URBANO","A","43.671763","-7.9058270000000004"
"200","UVIGO/Biología Ambiental","Ortigueira","URBANO","A","43.683174","-7.8255229999999996"
"201","UVIGO/Biología Ambiental","Mañon","RURAL","A","43.62127","-7.7360340000000001"
"202","UVIGO/Biología Ambiental","Mañon","NATURAL","A","43.599062","-7.7675049999999999"
"203","UVIGO/Biología Ambiental","As Pontes de Garcia Rodriguez","URBANO","A","43.44604","-7.8554919999999999"
"204","UVIGO/Biología Ambiental","As Pontes de Garcia Rodriguez","NATURAL","A","43.432525","-7.9070200000000002"
"205","UVIGO/Biología Ambiental","San Sarduniño","RURAL","A","43.495686","-7.9961399999999996"
"206","UVIGO/Biología Ambiental","A Capela","NATURAL","A","43.473438","-8.0677350000000008"
"207","UVIGO/Biología Ambiental","Monfero","URBANO","A","43.398495","-8.1031250000000004"
"208","UVIGO/Biología Ambiental","Monfero","RURAL","A","43.322315","-7.9744910000000004"
"209","UVIGO/Biología Ambiental","Aranga","URBANO","A","43.252072","-7.9809429999999999"
"210","UVIGO/Biología Ambiental","Aranga","RURAL","A","43.233653","-8.0154789999999991"
"211","UVIGO/Biología Ambiental","Sobrado","RURAL","A","43.092238","-7.992553"
"212","UVIGO/Biología Ambiental","Sobrado","URBANO","A","43.038604","-8.0122499999999999"
"213","UVIGO/Biología Ambiental","Melide","URBANO","A","42.898292","-7.9826110000000003"
"214","UVIGO/Biología Ambiental","Palas de Rei","RURAL","A","42.843613","-7.91031"
"215","UVIGO/Biología Ambiental","Palas de Rei","RURAL","A","42.829367","-7.9183060000000003"
"216","UVIGO/Biología Ambiental","Antas de Ulla","RURAL","A","42.776505","-7.8871190000000002"
"217","UVIGO/Biología Ambiental","Rodeiro","RURAL","A","42.723516","-7.9194089999999999"
"218","UVIGO/Biología Ambiental","Rodeiro","URBANO","A","42.650306","-7.9497869999999997"
"219","UVIGO/Biología Ambiental","A Peroxa","RURAL","A","42.469472","-7.8490830000000003"
"220","UVIGO/Biología Ambiental","O Saviñao","URBANO","A","42.682823","-7.6425869999999998"
"221","UVIGO/Biología Ambiental","Paradela","URBANO","A","42.761426","-7.5661610000000001"
"222","UVIGO/Biología Ambiental","Guntin","URBANO","A","42.839285","-7.6046630000000004"
"223","UVIGO/Biología Ambiental","Lugo","URBANO","A","42.937353","-7.5607280000000001"
"224","UVIGO/Biología Ambiental","Lugo","URBANO","A","42.996705","-7.5327479999999998"
"225","UVIGO/Biología Ambiental","Lugo","RURAL","A","42.993441","-7.5085730000000002"
"226","UVIGO/Biología Ambiental","Redondela","URBANO","A","42.230288","-8.6114510000000006"
"227","UVIGO/Biología Ambiental","Arbo","URBANO","A","42.107367","-8.3005560000000003"
"228","UVIGO/Biología Ambiental","Vigo","URBANO","A","42.1665","-8.6831029999999991"
"229","UVIGO/Biología Ambiental","Vigo","RURAL","A","42.202781","-8.6974660000000004"
"230","UVIGO/Biología Ambiental","Salvaterra de Miño","URBANO","A","42.113844","-8.4694719999999997"
"231","UVIGO/Biología Ambiental","Crecente","URBANO","A","42.154505","-8.2007549999999991"
"232","UVIGO/Biología Ambiental","Nigran","URBANO","A","42.127553","-8.7988009999999992"
"233","UVIGO/Biología Ambiental","Tui","URBANO","A","42.075378","-8.6322690000000009"
"234","UVIGO/Biología Ambiental","Rianxo","URBANO","A","42.653785","-8.8094920000000005"
"235","UVIGO/Biología Ambiental","Boiro","URBANO","A","42.642301","-8.8973630000000004"
"236","UVIGO/Biología Ambiental","A Pobra do Caramiñal","URBANO","A","42.597463","-8.9335620000000002"
"237","UVIGO/Biología Ambiental","Porto do Son","NATURAL","A","42.624839","-9.0373370000000008"
"238","UVIGO/Biología Ambiental","Porto do Son","URBANO","A","42.765166","-8.9383210000000002"
"239","UVIGO/Biología Ambiental","Noia","URBANO","A","42.796185","-8.8554829999999995"
"240","UVIGO/Biología Ambiental","Outes","URBANO","A","42.832381","-8.8750800000000005"
"241","UVIGO/Biología Ambiental","Outes","URBANO","A","42.837706","-8.9064910000000008"
"242","UVIGO/Biología Ambiental","Outes","URBANO","A","42.837513","-8.9080809999999992"
"243","UVIGO/Biología Ambiental","Muros","NATURAL","A","42.75805","-9.0957650000000001"
"244","UVIGO/Biología Ambiental","Carnota","URBANO","A","42.86004","-9.1041310000000006"
"245","UVIGO/Biología Ambiental","Dumbria","NATURAL","A","42.912744","-9.1175599999999992"
"246","UVIGO/Biología Ambiental","Cee","NATURAL","A","42.923488","-9.1555169999999997"
"247","UVIGO/Biología Ambiental","Muxia","NATURAL","A","43.023975","-9.1594040000000003"
"248","UVIGO/Biología Ambiental","Muxia","URBANO","A","43.093602","-9.1584140000000005"
"249","UVIGO/Biología Ambiental","Laxe","NATURAL","A","43.188483","-9.043336"
"250","UVIGO/Biología Ambiental","Laxe","URBANO","A","43.180078","-8.9995060000000002"
"251","UVIGO/Biología Ambiental","Vimianzo","RURAL","A","43.153716","-8.9856040000000004"
"252","UVIGO/Biología Ambiental","Vimianzo","RURAL","A","43.153645","-8.985735"
"253","UVIGO/Biología Ambiental","Vimianzo","URBANO","A","43.101841","-9.0404809999999998"
"254","UVIGO/Biología Ambiental","Vimianzo","URBANO","A","43.055665","-9.0524360000000001"
"255","UVIGO/Biología Ambiental","Zas","NATURAL","A","43.012787","-8.9369840000000007"
"256","UVIGO/Biología Ambiental","Mazaricos","RURAL","A","42.985667","-8.9081139999999994"
"257","UVIGO/Biología Ambiental","A Baña","URBANO","A","42.941447","-8.7893620000000006"
"258","UVIGO/Biología Ambiental","A Baña","URBANO","A","42.92081","-8.7321329999999993"
"259","UVIGO/Biología Ambiental","Brion","RURAL","A","42.877283","-8.7539479999999994"
"260","UVIGO/Biología Ambiental","Xermade","RURAL","A","43.41349","-7.7768819999999996"
"261","UVIGO/Biología Ambiental","Xermade","RURAL","A","43.418707","-7.753851"
"262","UVIGO/Biología Ambiental","Muras","URBANO","A","43.46667","-7.7273630000000004"
"263","UVIGO/Biología Ambiental","Trasmiras","URBANO","P","42.03178","-7.6624949999999998"
"264","UVIGO/Biología Ambiental","Monterrei","URBANO","A","41.93019","-7.4885989999999998"
"265","UVIGO/Biología Ambiental","Monterrei","URBANO","P","41.926934","-7.4897169999999997"
"266","UVIGO/Biología Ambiental","Vilardevos","RURAL","A","41.935359","-7.3775469999999999"
"267","UVIGO/Biología Ambiental","Rios","URBANO","A","41.98356","-7.2789669999999997"
"268","UVIGO/Biología Ambiental","A Gudiña","URBANO","P","42.018606","-7.1732769999999997"
"269","UVIGO/Biología Ambiental","A Mezquita","RURAL","P","42.031315","-7.049239"
"270","UVIGO/Biología Ambiental","Viana do Bolo","RURAL","P","42.148372","-7.1063590000000003"
"271","UVIGO/Biología Ambiental","Viana do Bolo","URBANO","A","42.179449","-7.0929589999999996"
"272","UVIGO/Biología Ambiental","Viana do Bolo","URBANO","A","42.178314","-7.0893750000000004"
